Año del Sorteo,Mes del Sorteo,Fecha del Sorteo,Lotería,Número del Sorteo,Numero billete ganador,Numero serie ganadora,Tipo de Premio
"2,020",2,3/02/2020,Sorteo Extra de Colombia,2179,2271,318,Mayor
"2,020",6,1/06/2020,Sorteo Extra de Colombia,2180,1179,54,Mayor
"2,020",7,26/07/2020,Sorteo Extra de Colombia,2182,8170,267,Mayor
"2,020",7,5/07/2020,Sorteo Extra de Colombia,2181,9452,315,Mayor
"2,020",8,31/08/2020,Sorteo Extra de Colombia,2183,6069,54,Mayor
"2,020",9,28/09/2020,Sorteo Extra de Colombia,2184,1025,9,Mayor
"2,020",11,3/11/2020,Sorteo Extra de Colombia,2185,8382,79,Mayor
"2,020",11,30/11/2020,Sorteo Extra de Colombia,2186,211,256,Mayor
"2,020",12,14/12/2020,Sorteo Extra de Colombia,2187,8468,261,Mayor
"2,020",2,3/02/2020,Sorteo Extra de Colombia,2179,3042,105,Secos
"2,020",6,1/06/2020,Sorteo Extra de Colombia,2180,7966,135,Secos
"2,020",7,26/07/2020,Sorteo Extra de Colombia,2182,121,77,Secos
"2,020",7,5/07/2020,Sorteo Extra de Colombia,2181,8176,134,Secos
"2,020",8,31/08/2020,Sorteo Extra de Colombia,2183,6003,140,Secos
"2,020",9,28/09/2020,Sorteo Extra de Colombia,2184,2983,142,Secos
"2,020",11,3/11/2020,Sorteo Extra de Colombia,2185,9703,32,Secos
"2,020",11,30/11/2020,Sorteo Extra de Colombia,2186,2105,108,Secos
"2,020",12,14/12/2020,Sorteo Extra de Colombia,2187,397,99,Secos
"2,020",2,3/02/2020,Sorteo Extra de Colombia,2179,282,39,Secos
"2,020",6,1/06/2020,Sorteo Extra de Colombia,2180,9408,182,Secos
"2,020",7,26/07/2020,Sorteo Extra de Colombia,2182,2117,24,Secos
"2,020",7,5/07/2020,Sorteo Extra de Colombia,2181,7808,151,Secos
"2,020",8,31/08/2020,Sorteo Extra de Colombia,2183,3565,108,Secos
"2,020",9,28/09/2020,Sorteo Extra de Colombia,2184,6715,17,Secos
"2,020",11,3/11/2020,Sorteo Extra de Colombia,2185,45,203,Secos
"2,020",11,30/11/2020,Sorteo Extra de Colombia,2186,8760,106,Secos
"2,020",12,14/12/2020,Sorteo Extra de Colombia,2187,5360,270,Secos
"2,020",2,3/02/2020,Sorteo Extra de Colombia,2179,3538,337,Secos
"2,020",2,3/02/2020,Sorteo Extra de Colombia,2179,7588,135,Secos
"2,020",2,3/02/2020,Sorteo Extra de Colombia,2179,8770,111,Secos
"2,020",2,3/02/2020,Sorteo Extra de Colombia,2179,4055,221,Secos
"2,020",6,1/06/2020,Sorteo Extra de Colombia,2180,2243,186,Secos
"2,020",6,1/06/2020,Sorteo Extra de Colombia,2180,1620,283,Secos
"2,020",6,1/06/2020,Sorteo Extra de Colombia,2180,4951,101,Secos
"2,020",6,1/06/2020,Sorteo Extra de Colombia,2180,2548,128,Secos
"2,020",7,26/07/2020,Sorteo Extra de Colombia,2182,6407,37,Secos
"2,020",7,5/07/2020,Sorteo Extra de Colombia,2181,1392,192,Secos
"2,020",7,26/07/2020,Sorteo Extra de Colombia,2182,1840,50,Secos
"2,020",7,26/07/2020,Sorteo Extra de Colombia,2182,3589,23,Secos
"2,020",7,5/07/2020,Sorteo Extra de Colombia,2181,5368,79,Secos
"2,020",7,26/07/2020,Sorteo Extra de Colombia,2182,3261,38,Secos
"2,020",7,5/07/2020,Sorteo Extra de Colombia,2181,6005,297,Secos
"2,020",7,5/07/2020,Sorteo Extra de Colombia,2181,331,329,Secos
"2,020",8,31/08/2020,Sorteo Extra de Colombia,2183,7627,247,Secos
"2,020",8,31/08/2020,Sorteo Extra de Colombia,2183,492,227,Secos
"2,020",8,31/08/2020,Sorteo Extra de Colombia,2183,6061,270,Secos
"2,020",8,31/08/2020,Sorteo Extra de Colombia,2183,749,143,Secos
"2,020",9,28/09/2020,Sorteo Extra de Colombia,2184,4901,17,Secos
"2,020",9,28/09/2020,Sorteo Extra de Colombia,2184,5220,67,Secos
"2,020",9,28/09/2020,Sorteo Extra de Colombia,2184,8322,325,Secos
"2,020",9,28/09/2020,Sorteo Extra de Colombia,2184,6098,291,Secos
"2,020",11,30/11/2020,Sorteo Extra de Colombia,2186,3911,84,Secos
"2,020",11,3/11/2020,Sorteo Extra de Colombia,2185,5801,0,Secos
"2,020",11,30/11/2020,Sorteo Extra de Colombia,2186,9787,255,Secos
"2,020",11,30/11/2020,Sorteo Extra de Colombia,2186,5031,248,Secos
"2,020",11,30/11/2020,Sorteo Extra de Colombia,2186,3831,258,Secos
"2,020",11,3/11/2020,Sorteo Extra de Colombia,2185,6336,320,Secos
"2,020",11,3/11/2020,Sorteo Extra de Colombia,2185,4534,258,Secos
"2,020",11,3/11/2020,Sorteo Extra de Colombia,2185,8834,285,Secos
"2,020",12,14/12/2020,Sorteo Extra de Colombia,2187,9823,115,Secos
"2,020",12,14/12/2020,Sorteo Extra de Colombia,2187,4665,267,Secos
"2,020",12,14/12/2020,Sorteo Extra de Colombia,2187,9188,108,Secos
"2,020",12,14/12/2020,Sorteo Extra de Colombia,2187,8849,179,Secos
"2,020",2,3/02/2020,Sorteo Extra de Colombia,2179,8432,27,Secos
"2,020",2,3/02/2020,Sorteo Extra de Colombia,2179,2492,270,Secos
"2,020",2,3/02/2020,Sorteo Extra de Colombia,2179,7095,325,Secos
"2,020",2,3/02/2020,Sorteo Extra de Colombia,2179,6029,247,Secos
"2,020",2,3/02/2020,Sorteo Extra de Colombia,2179,9879,258,Secos
"2,020",2,3/02/2020,Sorteo Extra de Colombia,2179,5581,28,Secos
"2,020",2,3/02/2020,Sorteo Extra de Colombia,2179,6436,23,Secos
"2,020",2,3/02/2020,Sorteo Extra de Colombia,2179,2305,133,Secos
"2,020",2,3/02/2020,Sorteo Extra de Colombia,2179,7998,330,Secos
"2,020",2,3/02/2020,Sorteo Extra de Colombia,2179,8439,88,Secos
"2,020",2,3/02/2020,Sorteo Extra de Colombia,2179,8969,285,Secos
"2,020",2,3/02/2020,Sorteo Extra de Colombia,2179,5278,26,Secos
"2,020",2,3/02/2020,Sorteo Extra de Colombia,2179,9997,33,Secos
"2,020",2,3/02/2020,Sorteo Extra de Colombia,2179,5395,152,Secos
"2,020",2,3/02/2020,Sorteo Extra de Colombia,2179,2460,19,Secos
"2,020",6,1/06/2020,Sorteo Extra de Colombia,2180,6043,131,Secos
"2,020",6,1/06/2020,Sorteo Extra de Colombia,2180,7372,187,Secos
